caseID,AQP1,SEPT8,RBM17,TRIM47,VPS25
TCGA-G9-A9S0-01,1239.37,1231.48,1086.06,485.246,1366.56
TCGA-G9-A9S7-01,990.196,1491.83,1578.84,317.402,1230.39
TCGA-H9-7775-01,3863.73,1033.75,656.625,220.546,1156.12
TCGA-H9-A6BX-01,2819.03,1229.73,1075.25,887.907,883.212
TCGA-H9-A6BY-01,1389.4659648361,1213.0799748723,970.314157281133,291.22828223791,948.633439373074
TCGA-HC-7075-01,731.506,957.61,773.253999999999,80.8332,1363.94
TCGA-HC-7077-01,536.587,889.889,1061.44,209.203,1113.99
TCGA-HC-7078-01,3687.53,1226.7,956.88,330.853,1291.47
TCGA-HC-7079-01,3442.76,1174.16,1124.72,772.472,690.61
TCGA-HC-7080-01,2438.5,1159.69,862.05,214.363,1419
TCGA-HC-7081-01,6442.25,982.664999999999,1470.98,388.806,731.055
TCGA-HC-7209-01,1504.44,988.773,954.251,354.239,522.648
TCGA-HC-7210-01,3815.38,737.659,1227.71,296.162,784.167
TCGA-HC-7211-01,1149.81,856.973999999999,1070.75,373.636,1008.85
TCGA-HC-7212-01,1852.18,688.059,1247.6,186.005,777.723
TCGA-HC-7213-01,2286.55,1019.59,1666.94,356.481,1037.04
TCGA-HC-7230-01,1454.78,1100.13,874.182,116.551,971.257000000001
TCGA-HC-7231-01,2253.44,986.966,1039.31,308.834,1069.15
TCGA-HC-7232-01,2489.06,1391.03,1392.63,308.2,997.605
TCGA-HC-7233-01,2625.66,967.304,892.081,355.689,955.670999999999
TCGA-HC-7736-01,3067.33,898.212,1133.7,240.926,881.641
TCGA-HC-7737-01,4203.32,869.331,963.117,303.997,992.698
TCGA-HC-7738-01,1008.51,902.493,1051.98,207.005,982.96
TCGA-HC-7740-01,4780.17,916.807,1027.73,380.49,900.76
TCGA-HC-7742-01,2683.6,1144.84,1101.45,344.09,1269.42
TCGA-HC-7744-01,1836.81,1275.5,980.749,397.872,1140.59
TCGA-HC-7745-01,4642.06,1177.76,1251.98,512.197,945.298
TCGA-HC-7747-01,2257.02,1008.68,899.442,459.504,1302.07
TCGA-HC-7748-01,2833.28,883.158,1134.06,212.127,892.415
TCGA-HC-7749-01,2193.09,943.532,1129.27,156.727,1144.63
TCGA-HC-7750-01,4309.3,947.981,891.997,410.258,1020.9
TCGA-HC-7752-01,2466.27,934.025,507.042,389.177,946.627
TCGA-HC-7817-01,4887.24,1105.02,1263.37,484.109,1026.72
TCGA-HC-7818-01,2221.3,1003.3,1073.23,448.515,1053.8
TCGA-HC-7819-01,1645.14,1026.77,806.883,123.518,978.585
TCGA-HC-7820-01,1215.8,919.665,881.72,195.474,724.912
TCGA-HC-7821-01,2179.4,1124.09,963.46,198.472,884.869
TCGA-HC-8213-01,1379.89,1153.54,501.238,179.297,952.452
TCGA-HC-8216-01,1011.55,1328.86,847.95,219.491,708.132
TCGA-HC-8256-01,1243.49,968.017,944.588999999999,251.51,1232.6
TCGA-HC-8257-01,2200.6,1436.86,708.447,198.59,1222.96
TCGA-HC-8258-01,1996.22,1006.87,1101.81,218.339,1453.4
TCGA-HC-8259-01,1040.95,1101.26,731.539,216.786,1352.7
TCGA-HC-8260-01,2316.88,1224.18,1182.17,239.924,1425.38
TCGA-HC-8261-01,907.654,1079.9,1010.27,299.075,1302.27
TCGA-HC-8262-01,1580.65,1112.83,915.239,201.586,1239.44
TCGA-HC-8264-01,6701.64,1268.93,1340.35,500.217,1106.58
TCGA-HC-8265-01,1866.78,1638.35,1387.43,464.978,856.433
TCGA-HC-8266-01,2952.66,1329.41,957.165,401.176,1121.18
TCGA-HC-A48F-01,1012.53,1436.93,738.137,184.647,1106.64
TCGA-HC-A4ZV-01,1180.42,1207.21,1627.06,239.778,961.192000000001
TCGA-HC-A631-01,1018.34,1216.02,954.211,119.218,934.192
TCGA-HC-A632-01,2952.91,1514.48,1145.14,224.155,895.061
TCGA-HC-A6AL-01,2561.77043135884,1153.87522333037,1392.42606493038,261.873232275264,995.232936224596
TCGA-HC-A6AN-01,3862.31357539098,1217.70561274239,1259.6024568095,256.695529858122,1105.55722713869
TCGA-HC-A6AO-01,1565.53937369974,1099.72754087716,755.138537577299,559.22268275882,1365.63749928505
TCGA-HC-A6AP-01,5099.99712005319,1258.80170981402,1301.88651010216,608.61632888969,1130.47115875317
TCGA-HC-A6AQ-01,1571.92040193335,1173.22775658983,1008.10915487258,241.285342936686,949.17374324208
TCGA-HC-A6AS-01,2997.74173905593,1139.64863378886,1080.28694139367,475.59480656688,1252.17064530728
TCGA-HC-A6HX-01,3600.78090843409,1328.71666112921,1238.50079919479,330.178229059298,1098.88911931521
TCGA-HC-A6HY-01,1159.76204782839,1352.30132588418,1142.20787570381,157.928014497192,1226.56389984428
TCGA-HC-A76W-01,4269.91,1436.34,1120.23,556.509,1103.48
TCGA-HC-A76X-01,1184.81,1210.53,806.791,147.129,1170.45
TCGA-HC-A8CY-01,1036.77,1211.59,647.87,142.587,552.026
TCGA-HC-A8D0-01,3178.74,1540.04,923.729,378.726,939.217
TCGA-HC-A8D1-01,3177.11,1063.37,843.303,286.427,800.399
TCGA-HC-A9TE-01,4708.56,1648.15,1722.94,418.519,985.803
TCGA-HC-A9TH-01,1687.3,1342.74,1171.58,428.268,1264.18
TCGA-HI-7168-01,7583.66,1058.41,1014.42,387.924,589.187
TCGA-HI-7169-01,4712.27,993.821999999999,561.342,685.79,736.099
TCGA-HI-7170-01,6162.76,1071.71,1070.12,507.439,784.875
TCGA-HI-7171-01,2264.25,1093.65,900.513,128.13,561.817
TCGA-J4-8198-01,2256.73,1230.22,632.388,158.51,898.122
TCGA-J4-8200-01,1403.12,1162.99,797.664,230.829,1012.67
TCGA-J4-A67K-01,1191.37640757248,1273.68617627666,729.080914279239,220.351737581791,582.391776253058
TCGA-J4-A67L-01,2000.10497357605,1562.4797973209,1021.96891775184,785.545452271609,718.130470702996
TCGA-J4-A67M-01,4927.52636659222,1188.76721850464,1117.75949319348,435.809269245083,1002.39640975992
TCGA-J4-A67N-01,1765.8824995991,1272.29322795491,912.281787910832,283.503356738944,1223.0545328077
TCGA-J4-A67O-01,7186.63144876105,1331.32591412313,655.989091529505,420.826161363088,918.409795463583
TCGA-J4-A67Q-01,5580.69255286125,1286.05744030531,679.028511244604,456.245091213453,947.283022709191
TCGA-J4-A67R-01,3425.19153065277,1255.23386690125,905.398181130481,488.604698115875,1068.13190666871
TCGA-J4-A67S-01,1273.02277141035,989.616264731753,864.76681803662,212.758846413177,1146.08336964389
TCGA-J4-A67T-01,1449.01,1113.97,798.453,742.502,1218.94
TCGA-J4-A6G1-01,4371.04,1425.95,1063.05,518.568,1006.26
TCGA-J4-A6G3-01,2727.47,1173.74,1209.42,568.604,997.341
TCGA-J4-A6M7-01,2983.16415890168,1026.02850716763,1306.98779713833,160.217077036598,618.595221283533
TCGA-J4-A83I-01,1541.04,1120.46,1171.12,343.761,1061.85
TCGA-J4-A83J-01,1393.37,1275.14,1175.38,300.813,996.149
TCGA-J4-A83K-01,1632.47,1234.4,979.628,385.509,941.772
TCGA-J4-A83L-01,2871.56,1184.27,842.655,402.247,969.663
TCGA-J4-A83M-01,1367.25,1054.94,701.204,237.056,1075.61
TCGA-J4-A83N-01,1095.9,1144.86,669.61,188.811,1181.32
TCGA-J4-AATV-01,4222.15,1205.75,989.823,859.316,1067.17
TCGA-J4-AATZ-01,1565.92,1066.92,1688.48,285.781,969.782
TCGA-J4-AAU2-01,2116.14,1066.16,947.745000000001,269.118,1298.44
TCGA-J9-A52B-01,2388.52,1092.56,1005.38,277.08,665.501
TCGA-J9-A52C-01,6188.49,1379.33,977.436,863.309,994.768
TCGA-J9-A52D-01,469.885,1105.75,661.044,74.9425,1688.28
TCGA-J9-A52E-01,2744.64,1785.49,1126.37,207.679,1219.84
TCGA-J9-A8CK-01,4170.03,1455.8,908.932,465.212,918.025
TCGA-J9-A8CL-01,2446.19,1354.26,1322.74,274.664,680.493
TCGA-J9-A8CM-01,5195.74,1406.38,1096.45,249.316,1004.95
TCGA-J9-A8CN-01,2884.32,1211.73,625.084,128.492,1264.8
TCGA-J9-A8CP-01,5046.72,1096.45,1071.22,473.764,1156.02
TCGA-KC-A4BL-01,3689.16,1199.57,1242.37,486.383,927.234
TCGA-KC-A4BN-01,1063.67,987.062,788.528,648.781,1053.52
TCGA-KC-A4BO-01,NaN,NaN,NaN,NaN,NaN
TCGA-KC-A4BR-01,6362.42,1153.52,847.643,763.308,756.179
TCGA-KC-A4BV-01,2787.11,621.833,1083.33,247.778,496.618
TCGA-KC-A7F3-01,2000.66,1254.89,689.065000000001,867.186,1082.03
TCGA-KC-A7F5-01,1301.07,1172.74,1314.23,286.412,1369.01
TCGA-KC-A7F6-01,2922.37,1562.56,897.501999999999,754.468,1066.79
TCGA-KC-A7FA-01,2576.23,1504.21,797.021,388.422,1385.95
TCGA-KC-A7FD-01,793.99,1220.96,778.231,309.795,878.512
TCGA-KC-A7FE-01,6123.71,1208.34,1038.51,470.875,1164.68
TCGA-KK-A59V-01,1354.76,1660.91,726.646,536.949,898.955
TCGA-KK-A59X-01,1717.54,1147.32,1161.07,241.124,1161.63
TCGA-KK-A59Y-01,1179.47,1064.71,934.936,488.177,1079.07
TCGA-KK-A59Z-01,4285.27,1194.67,1146.53,345.307,878.911
TCGA-KK-A5A1-01,880.633999999999,1574.54,1114.9,272.907,833.581
TCGA-KK-A6DY-01,1444.68,1381.14,1228.85,304.838,1232.74
TCGA-KK-A6E0-01,2756.69,1201.69,1505,220.657,1482.61
TCGA-KK-A6E1-01,1049.17,690.501,1561.03,404.952,1366.19
TCGA-KK-A6E2-01,447.877,1222.71,870.796,113.954,961.615
TCGA-KK-A6E3-01,2153.98428578251,1118.86036268283,1189.44128832398,379.439463094479,1289.55246011387
TCGA-KK-A6E4-01,1305.52194143677,1430.16180171058,1063.37245648077,123.50377899184,1398.21839267159
TCGA-KK-A6E5-01,2689.3,1171.13,801.305,289.375,1531.37
TCGA-KK-A6E6-01,3135.25,1034.22,913.246,282.755,1515.08
TCGA-KK-A6E7-01,2289.04523442665,1104.13664064026,1471.27998656762,233.861692737718,1266.78889976822
TCGA-KK-A6E8-01,2319.63243890139,684.571079601444,983.285392187241,194.866639262632,719.171934725272
TCGA-KK-A7AP-01,981.253000000001,1160.67,941.655000000001,320.347,674.228
TCGA-KK-A7AQ-01,3962.58,1095.06,983.26,545.88,1567.75
TCGA-KK-A7AU-01,396.284,1294.27,790.641,151.688,1222.98
TCGA-KK-A7AV-01,3658.67,1242.5,880.216,547.081,1173.59
TCGA-KK-A7AW-01,1828.96,1321.27,504.824,429.864,2603.62
TCGA-KK-A7AY-01,1294.24,1765.44,616.856,856.35,1663.43
TCGA-KK-A7AZ-01,1534.51,1355.04,1248.87,296.439,1107.47
TCGA-KK-A7B0-01,4560.95,1323.94,764.137,908.68,1995.48
TCGA-KK-A7B1-01,3454.96,1144.57,744.354,521.635,1070.05
TCGA-KK-A7B2-01,3014.67,1464.57,938.946,741.788,1441.65
TCGA-KK-A7B3-01,2382.59,1408.52,1349.62,385.117,1153.82
TCGA-KK-A7B4-01,1089.98,1393.46,896.362,284.455,1214.1
TCGA-KK-A8I4-01,6963.16,1388.53,949.493000000001,856.692,790.459
TCGA-KK-A8I5-01,3731.91,1314.66,864.216,288.271,1072.02
TCGA-KK-A8I6-01,1916.05,1130.89,1033.41,294.981,1069.88
TCGA-KK-A8I7-01,5175.95,1152.63,1071.62,371.928,1145.7
TCGA-KK-A8I8-01,1742.62,1038.25,993.246,221.311,1053.55
TCGA-KK-A8I9-01,6760.33,1506.63,1101.27,1097.3,999.017
TCGA-KK-A8IA-01,1589.93,1794.17,750.933,227.101,1198.28
TCGA-KK-A8IB-01,2664.38,1450.13,1080.92,919.261,1529.29
TCGA-KK-A8IC-01,3876.19,1321.56,1081.83,397.445,978.963
TCGA-KK-A8ID-01,851.335,1058.59,1653.59,102.83,782.383
TCGA-KK-A8IF-01,886.915,1226.18,996.111,108.231,837.33
TCGA-KK-A8IG-01,4641.25,1300.99,1063.45,336.453,974.384
TCGA-KK-A8IH-01,1752.85,1290.69,1399.64,557.937,1342.93
TCGA-KK-A8II-01,539.257,687.282,721.173,96.9333,987.53
TCGA-KK-A8IJ-01,2484.04,969.747,991.587,300.041,1078.74
TCGA-KK-A8IK-01,2153.5,1628.97,928.691,158.217,1050.7
TCGA-KK-A8IL-01,1244.95,1479.14,826.855,855.541,983.401
TCGA-KK-A8IM-01,2169.65,1287.78,1245.02,314.772,994.527
TCGA-M7-A71Y-01,2654.26,1273.04,1191.36,378.935,1351.46
TCGA-M7-A71Z-01,805.668,1548.08,687.733,431.68,1495.95
TCGA-M7-A720-01,2127.05,1228.19,1590.47,358.687,1155.6
TCGA-M7-A721-01,3100.34,961.033,1029.45,393.57,1186.56
TCGA-M7-A722-01,883.669,1404.13,485.392,325.635,1889.8
TCGA-M7-A723-01,4194.93,1269.01,836.295,513.256,1202.5
TCGA-M7-A724-01,672.199,1265.88,651.604,301.103,1825.68
TCGA-M7-A725-01,1078.14,1018.08,1657.28,183.634,1279.11
TCGA-MG-AAMC-01,915.033,1659.48,681.699,261.438,483.66
TCGA-QU-A6IL-01,1586.94952716051,1138.70022652233,956.675247215094,399.790714583756,825.557012178933
TCGA-QU-A6IM-01,1569.89601464933,811.755567118517,580.563578018239,423.950656495583,1298.53537406955
TCGA-QU-A6IN-01,1161.17072338842,1356.58858713624,784.210189569364,244.64309705602,761.679996434127
TCGA-QU-A6IO-01,2667.59530055465,870.119436702481,686.535853007937,317.482415236567,1411.10748274489
TCGA-QU-A6IP-01,2659.2411734239,805.283551756612,1346.36837885901,217.098360682983,775.549858382309
