caseID,AQP1,SEPT8,RBM17,TRIM47,VPS25
TCGA-2A-A8VO-01,2580.7266,1241.5136,677.9143,309.0492,1265.44
TCGA-CH-5751-01,3036.7445,1161.9938,1251.4486,201.973,613.7072
TCGA-CH-5761-01,3008.1604,1359.4142,979.9999,400.4266,1306.1371
TCGA-CH-5767-01,1840.4273,795.3523,735.7571,203.5232,1130.06
TCGA-CH-5792-01,6847.376,1056.2555,1287.8618,595.0772,1222.084
TCGA-EJ-5514-01,2832.8441,1347.6474,1455.6202,438.1448,819.5924
TCGA-EJ-5515-01,1393.6356,1029.8979,1176.1905,250.2922,1014.6628
TCGA-EJ-5517-01,3270.5164,1087.8463,785.5447,197.4181,1029.597
TCGA-EJ-5518-01,7085.6618,697.533,1758.905,564.1546,1061.8452
TCGA-EJ-5532-01,3488.3051,889.2252,951.5254,275.7264,1223.063
TCGA-EJ-7218-01,1411.2005,957.5153,920.3605,335.3717,1160.2832
TCGA-EJ-7317-01,2635.4797,792.4021,866.0553,310.0537,1123.1773
TCGA-EJ-7331-01,3243.3664,888.8889,1211.5901,270.4243,728.7287
TCGA-EJ-7781-01,1332.3374,902.2556,845.917,237.6594,864.0078
TCGA-EJ-7786-01,2521.8783,911.7752,1008.4418,179.2956,1030.9498
TCGA-EJ-7791-01,3790.8245,950.2084,1367.0102,349.9305,927.5127
TCGA-EJ-7792-01,4944.4096,1021.5898,965.2731,430.4874,876.0222
TCGA-EJ-7794-01,2322.6352,822.2789,782.0394,325.1548,874.4203
TCGA-EJ-A46G-01,2595.6522,1214.1304,1122.7989,352.7174,716.8478
TCGA-EJ-A65G-01,1213.3179,1164.447,646.7863,201.5055,1083.9606
TCGA-EJ-A65J-01,1424.337,855.1142,1451.9286,171.944,1012.4736
TCGA-EJ-A6RA-01,2360.3015,1307.0352,905.4422,395.9799,1612.5628
TCGA-EJ-A6RC-01,5500.659,1151.0597,1042.0771,562.6204,1169.5568
TCGA-EJ-A7NJ-01,1032.3094,1084.5884,1434.6688,228.4191,1130.8353
TCGA-EJ-A8FN-01,2481.6286,1169.3148,1004.2056,320.2582,1079.4439
